squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
32688,9,1,1,18,86166,6,5,2013,0,1,9089,6967,398,1,7,3274057.3
518,35,1,0,86,73855,2,2,1995,1,0,6158,1655,808,0,3,58191.5
62414,19,0,0,77,88604,8,4,1997,1,1,1717,3023,492,1,6,6250022.7
49805,44,0,1,52,87751,9,6,1992,0,1,7181,439,615,0,4,4984392.2
43140,6,1,1,53,29151,5,10,1992,1,1,3056,6995,743,0,6,4322399.2
30896,94,0,0,40,26510,9,4,2014,1,0,2375,6784,353,0,0,3092891.4
39799,23,1,0,76,24010,7,8,1993,0,1,5411,1575,281,0,9,3984987.3
83606,57,0,0,81,23295,2,2,1992,0,0,3933,4753,461,1,3,8365435.2
96711,16,0,1,37,83325,7,4,2000,0,1,3966,889,347,1,0,9677596.0
43876,42,0,0,43,78995,2,7,1993,0,0,1242,9300,496,1,3,4388329.3
40567,56,1,0,96,40296,3,3,2001,1,1,8629,606,491,1,8,4065377.1
82226,41,1,0,29,97019,10,10,2014,1,0,1354,955,884,1,2,8227563.4
3709,41,1,0,5,61621,7,3,2004,0,1,2201,3857,590,1,0,375675.4
73622,7,1,0,54,2527,3,1,2020,1,0,4412,3603,417,0,9,7365758.0
47579,85,1,0,8,8403,3,8,2013,1,1,1138,805,629,0,5,4761303.3
70346,18,1,0,83,13840,4,1,2007,0,0,3350,2323,772,1,5,7041725.7
41570,76,0,1,98,21758,10,4,2014,1,1,3573,3494,486,1,10,4167932.4
81645,95,1,1,37,5500,10,2,2013,1,1,6166,9091,630,0,6,8174644.3
9289,50,0,0,59,15072,7,6,2008,0,1,7262,950,484,0,1,934488.8
84340,37,1,0,28,79020,10,8,2007,0,1,7776,8458,309,1,0,8437869.7
84431,72,0,0,35,91450,4,6,1996,1,0,3882,2460,727,0,5,8445624.6
83206,34,1,0,51,27565,9,9,1999,1,0,9170,9694,327,0,9,8326302.9
70753,66,0,1,38,28784,9,6,1991,1,1,5308,7336,204,0,7,7083236.1
56191,6,1,1,51,84313,5,8,2005,1,1,5181,8338,358,0,4,5625288.5
37375,13,1,0,66,31734,1,2,2015,0,1,6681,4975,881,1,1,3745925.5
82525,63,0,1,38,32886,1,4,2008,0,1,9388,7718,363,0,7,8258910.8
41600,16,0,1,58,3766,6,1,2020,0,1,2859,4155,864,1,4,4170132.0
73739,27,1,1,10,57048,6,6,2009,1,0,1187,3188,595,1,2,7382091.9
71298,98,0,0,29,24335,8,5,1998,0,0,2964,4917,457,0,5,7131907.8
67971,40,1,0,85,57085,3,2,2018,1,1,2571,3908,615,1,0,6803688.8
99913,52,1,0,83,94376,4,1,2014,1,1,6217,6113,493,0,6,9998090.4
77466,26,1,0,80,39000,10,1,1999,0,1,7972,9820,709,1,4,7753678.9
70367,63,1,0,19,82251,8,1,2015,0,1,8131,2786,635,1,0,7043100.5
51547,65,0,1,23,81729,5,6,2002,0,0,8346,3493,861,1,7,5158989.2
38454,8,1,0,6,17811,1,6,1990,1,1,3909,692,297,0,10,3848412.0
99301,7,1,1,85,73684,10,5,2014,0,0,7473,5243,732,1,9,9941220.4
54669,58,0,0,85,20404,10,4,2012,0,1,4746,1210,140,0,2,5472646.2
43332,60,0,1,24,16226,5,5,2002,0,1,9557,9617,321,0,4,4336691.2
44726,77,0,1,73,53094,10,7,1991,0,0,1142,6377,496,1,5,4480483.1
25307,24,1,0,90,73502,1,5,2014,0,0,9536,4979,381,1,5,2538791.4
51203,59,0,0,58,31258,2,9,2010,1,0,8413,3175,359,0,5,5123643.0
42230,5,0,1,16,30746,7,10,2019,0,0,9505,9183,466,1,8,4228536.9
87400,60,0,0,34,77423,9,9,1998,1,1,3473,7709,479,1,1,8743395.8
5825,60,1,1,90,70226,7,2,2016,0,0,4888,779,424,1,5,598186.6
30877,44,1,0,5,12980,5,5,2001,0,1,4957,4850,829,0,6,3089945.1
56348,39,1,1,64,74517,10,6,1993,0,0,7815,8344,100,0,4,5645570.3
10802,34,0,1,10,70295,3,6,2018,1,0,8297,2765,675,1,4,1086000.8
8416,63,1,1,99,87396,1,1,2013,1,0,7932,8752,124,0,10,850814.3
3011,48,1,0,42,78036,5,8,2020,0,1,7963,2257,185,0,0,305014.0
69048,35,1,0,58,31162,7,8,2001,0,0,6900,1130,729,1,2,6911450.1
77980,24,1,1,60,47515,3,5,2003,1,1,4579,3538,469,1,9,7808460.3
60479,97,0,0,11,6995,9,6,2016,0,1,6393,5865,679,0,4,6049532.6
70126,97,0,1,42,26733,6,1,1991,0,1,8899,2020,135,0,10,7018315.1
44799,32,0,1,71,94440,1,5,2003,0,0,7341,4727,408,1,6,4489422.3
29753,69,1,1,68,40412,7,4,2017,1,1,1025,4878,524,1,2,2986236.7
47982,83,1,1,32,44712,6,7,1994,1,1,4986,3510,338,0,10,4808638.4
80988,34,0,1,57,56385,6,10,2015,0,1,8135,7450,321,1,10,8104253.5
